1971
14,15,16,22,26,27,30+2,29,32,33
4,10,15,17,18,20,37+7,13,14,22
2,4,9,10,14,17,22+3,6,18,36
6,7,20,24,25,29,37+19,21,30,31
2,9,10,15,17,21,25+3,7,11,13
2,7,13,18,23,25,37+1,12,17,22
1,2,3,9,15,17,23+5,7,12,18
7,18,20,21,29,35,37+3,4,13,17
3,4,17,18,26,34,37+4,19,21,30
2,5,10,17,19,20,34+4,13,21,32
1,5,7,19,23,25,37+14,16,24,28
6,15,20,22,30,32,33+4,14,29,31
1,2,7,12,16,32,34+5,18,20,36
1,9,14,24,29,34,37+6,19,22,36
1,3,13,14,20,23,29+9,16,19,32
1,11,12,15,20,27,33+6,22,28,30
3,4,7,9,10,14,28+1,5,30,32
3,4,6,8,19,21,25+17,24,29,31
7,17,18,23,27,28,31+2,3,15,16
2,3,6,8,18,21,32+13,16,17,29
4,8,9,14,18,27,37+5,12,22,32
1,7,8,9,14,21,34+4,15,18,36
6,7,13,14,26,31,32+2,15,17,34
7,12,13,20,21,24,31+5,19,27,37
1,5,7,8,9,19,29+6,12,24,25
5,7,13,14,19,29,36+4,31,35,37
1,8,13,16,19,27,29+9,12,15,17
1,3,10,19,22,25,37+4,9,14,30
4,8,10,11,23,27,33+14,18,24,34
2,8,16,22,24,32,37+3,19,23,36
5,17,19,21,28,32,37+4,8,12,28
15,19,23,27,28,30,34
7,8,12,29,30,36,37+3,4,24,25
5,6,20,21,22,25,27+2,3,30,31
2,8,19,22,31,33,37+10,21,34,35
9,12,18,21,28,30,36+5,7,14,17
1,12,14,18,22,23,34+6,8,9,27
2,8,18,22,24,33,37+9,20,28,36
5,8,15,21,32,33,37+18,19,27,28
1,4,5,13,17,23,25+7,8,9,37
1,3,4,10,15,19,23+14,18,27,35
4,6,10,19,20,23,30+2,3,16,24
4,8,12,15,26,30,37+5,18,25,28
10,12,13,18,23,30,32+1,5,11,25
1,2,3,11,12,17,23+8,20,27,37
3,11,13,16,20,23,33+5,8,36,37
7,9,11,16,20,23,36+3,13,28,23
1983
4,11,12,14,20,22,24+5,6,29,37
2,6,817,19,30,33+4,10,14,20
3,7,10,14,18,27,29+1,24,25,35
3,4,11,17,18,24,25+2,6,15,31
7,10,13,16,22,23,36+4,9,21,25
1,4,11,12,17,33,35+5,9,15,16
6,15,16,18,19,23,35+1,7,21,33
3,7,10,24,28,31,34+1,4,12,33
2,3,5,18,24,32,36+4,8,10,21
1,9,10,15,17,22,33+2,5,12,13
11,12,16,18,26,30,31+1,3,4,32
6,12,13,25,26,27,34+9,14,29,30
3,9,14,16,30,31,37+12,26,28,36
1,10,13,14,15,19,29+3,9,21,27
3,4,9,12,22,26,27+6,8,32,33
8,11,12,18,24,29,32+7,31,34,37
1,16,19,27,29,30,32+8,,24,26,31
2,7,8,10,15,16,24+4,5,18,34
3,4,7,11,12,14,29+8,9,23,36
10,12,15,25,27,32,35+14,21,34,36
1,4,13,15,26,28,29+14,21,22,27
7,9,16,27,33,34,36+3,6,20,37
8,14,15,26,227,29,37+2,11,16,17
1,6,16,22,24,36,37+3,5,26,29
1,2,19,21,30,33,35+6,12,20,31
8,14,16,17,25,26+6,9,10,11
2,5,8,21,22,23,28+6,10,25,33
1,5,8,21,24,32,37+2,15,18,33
